date,coin,price
2026-01-14,bitcoin,95260.4422971001
2026-01-15,bitcoin,97007.78078881276
2026-01-16,bitcoin,95584.82797878512
2026-01-17,bitcoin,95516.07771987123
2026-01-18,bitcoin,95099.53192554631
2026-01-19,bitcoin,93752.70577188236
2026-01-20,bitcoin,92558.46334372147
2026-01-21,bitcoin,88312.84053255555
2026-01-22,bitcoin,89354.34377512129
2026-01-23,bitcoin,89443.39744146909
2026-01-24,bitcoin,89412.39849953113
2026-01-25,bitcoin,89170.87364531498
2026-01-26,bitcoin,86548.32213469829
2026-01-27,bitcoin,88307.8612070438
2026-01-28,bitcoin,89204.22239644526
2026-01-29,bitcoin,89162.09701574955
2026-01-30,bitcoin,84570.40906135936
2026-01-31,bitcoin,84141.77856967277
2026-02-01,bitcoin,78725.85853884545
2026-02-02,bitcoin,76937.06406636834
2026-02-03,bitcoin,78767.65815345927
2026-02-04,bitcoin,75638.95670207398
2026-02-05,bitcoin,73172.29203248928
2026-02-06,bitcoin,62853.69038445987
2026-02-07,bitcoin,70523.95417035831
2026-02-08,bitcoin,69296.80677355142
2026-02-09,bitcoin,70542.37329463876
2026-02-10,bitcoin,70096.40692272567
2026-02-11,bitcoin,68779.90981269129
2026-02-12,bitcoin,66937.58141157958
2026-02-12,bitcoin,66231.46097915129
2026-01-14,ethereum,3319.9354070565078
2026-01-15,ethereum,3356.4964063628336
2026-01-16,ethereum,3318.2037023491666
2026-01-17,ethereum,3296.062650076136
2026-01-18,ethereum,3306.8712226908783
2026-01-19,ethereum,3284.3194316465483
2026-01-20,ethereum,3185.6644636922747
2026-01-21,ethereum,2935.6234193160412
2026-01-22,ethereum,2976.0491465641335
2026-01-23,ethereum,2948.277889615024
2026-01-24,ethereum,2950.9128485703054
2026-01-25,ethereum,2949.197384616335
2026-01-26,ethereum,2814.1853835458546
2026-01-27,ethereum,2927.836546921288
2026-01-28,ethereum,3021.091516998928
2026-01-29,ethereum,3006.8071129555346
2026-01-30,ethereum,2818.817890220326
2026-01-31,ethereum,2702.40799526457
2026-02-01,ethereum,2443.9290245632774
2026-02-02,ethereum,2269.3288518651166
2026-02-03,ethereum,2344.512261445349
2026-02-04,ethereum,2226.985635575225
2026-02-05,ethereum,2152.0870116729375
2026-02-06,ethereum,1820.5693215574129
2026-02-07,ethereum,2060.7349645674162
2026-02-08,ethereum,2091.040353689534
2026-02-09,ethereum,2095.1305644770564
2026-02-10,ethereum,2104.4577921908335
2026-02-11,ethereum,2018.9237788543585
2026-02-12,ethereum,1939.4321739711042
2026-02-12,ethereum,1913.9479035198178
2026-01-14,solana,145.09717589746134
2026-01-15,solana,146.70846905618052
2026-01-16,solana,142.27295549504774
2026-01-17,solana,144.82360113807155
2026-01-18,solana,143.70920085761944
2026-01-19,solana,138.5946736566872
2026-01-20,solana,133.43360509528503
2026-01-21,solana,125.81062416788743
2026-01-22,solana,129.33791858850012
2026-01-23,solana,128.22398381822603
2026-01-24,solana,127.24900586659474
2026-01-25,solana,127.04951352257324
2026-01-26,solana,118.89050038610903
2026-01-27,solana,124.20384054241987
2026-01-28,solana,127.1523419223292
2026-01-29,solana,125.04471508843886
2026-01-30,solana,117.61753429620335
2026-01-31,solana,117.30168147280109
